Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta058,50,first,transpose,random,8,19.1813,0.2728
ta058,50,first,transpose,random,9,23.2331,0.0996
ta058,50,first,transpose,random,10,23.7189,0.1234
ta106,200,first,exchange,srz,1,6.6864,5.7255
ta106,200,first,exchange,srz,2,6.6864,5.5646
ta106,200,first,exchange,srz,3,6.6864,5.6401
ta106,200,first,exchange,srz,4,6.6864,5.4393
ta106,200,first,exchange,srz,5,6.6864,5.3974
ta106,200,first,exchange,srz,6,6.6864,5.6069
ta106,200,first,exchange,srz,7,6.6864,5.3985
ta106,200,first,exchange,srz,8,6.6864,5.3864
ta106,200,first,exchange,srz,9,6.6864,5.4011
ta106,200,first,exchange,srz,10,6.6864,5.5108
ta086,100,first,insert,srz,1,8.9041,0.7034
ta086,100,first,insert,srz,2,8.4021,0.9791
ta086,100,first,insert,srz,3,8.7216,0.7075
ta086,100,first,insert,srz,4,8.36,0.7461
ta086,100,first,insert,srz,5,8.0157,0.9581
ta086,100,first,insert,srz,6,7.9734,0.9398
ta086,100,first,insert,srz,7,8.0238,0.8139
ta086,100,first,insert,srz,8,11.1982,0.9911
ta086,100,first,insert,srz,9,7.7529,1.0602
ta086,100,first,insert,srz,10,7.3282,0.9611
ta058,50,first,transpose,srz,1,5.1588,0.1061
ta058,50,first,transpose,srz,2,5.1588,0.0933
ta058,50,first,transpose,srz,3,5.1588,0.0985
ta058,50,first,transpose,srz,4,5.1588,0.1048
ta058,50,first,transpose,srz,5,5.1588,0.1071
ta058,50,first,transpose,srz,6,5.1588,0.1157
ta058,50,first,transpose,srz,7,5.1588,0.1399
ta058,50,first,transpose,srz,8,5.1588,0.0945
ta058,50,first,transpose,srz,9,5.1588,0.0909
ta058,50,first,transpose,srz,10,5.1588,0.0919
ta058,50,first,exchange,srz,1,5.3074,0.1065
ta058,50,first,exchange,srz,2,5.3074,0.1073
ta058,50,first,exchange,srz,3,5.3074,0.1042
ta058,50,first,exchange,srz,4,5.3074,0.0939
ta058,50,first,exchange,srz,5,5.3074,0.0991
ta058,50,first,exchange,srz,6,5.3074,0.0949
ta058,50,first,exchange,srz,7,5.3074,0.088
ta058,50,first,exchange,srz,8,5.3074,0.0912
ta058,50,first,exchange,srz,9,5.3074,0.0897
ta058,50,first,exchange,srz,10,5.3074,0.0893
ta058,50,first,exchange,random,1,18.0931,0.0949
ta058,50,first,exchange,random,2,18.2122,0.0772
ta058,50,first,exchange,random,3,10.5226,0.1104
ta058,50,first,exchange,random,4,10.7748,0.1801
ta058,50,first,exchange,random,5,14.4756,0.105
ta058,50,first,exchange,random,6,14.7711,0.0898
ta058,50,first,exchange,random,7,12.7179,0.128
ta058,50,first,exchange,random,8,13.1506,0.1151
ta058,50,first,exchange,random,9,11.5602,0.1342
ta058,50,first,exchange,random,10,13.7784,0.1062
ta058,50,best,transpose,random,1,24.8096,0.0192
ta058,50,best,transpose,random,2,24.3622,0.0103
ta058,50,best,transpose,random,3,25.8635,0.0122
ta058,50,best,transpose,random,4,32.2225,0.0057
ta058,50,best,transpose,random,5,25.0096,0.0051
ta058,50,best,transpose,random,6,24.9688,0.0067
ta058,50,best,transpose,random,7,23.3784,0.0219
ta058,50,best,transpose,random,8,26.5101,0.0056
ta058,50,best,transpose,random,9,24.3067,0.0083
ta058,50,best,transpose,random,10,26.0048,0.0191
ta058,50,best,transpose,srz,1,5.3074,0.0561
